clear (no obstacle)

starts as x (175), y (175) = 0.05

x (175), y (175) = 0.03225806

x (175), y (175) = 0.00110988

x (175), y (175) = 0.00003704

x (175), y (175) = 0.00000123

x (175), y (175) = 0.00000004

x (175), y (175) = 0.00000000

x (175), y (175) = 0.00000000

x (175), y (175) = 0.00000000

x (175), y (175) = 0.00000000

x (175), y (175) = 0.00000000

x (175), y (175) = 0.00000000

x (175), y (175) = 0.00000000

x (175), y (175) = 0.00000000



------------------------
starts at 0.5
x (225), y (225) = 0.03225806

x (225), y (225) = 0.00110988

x (225), y (225) = 0.00003704

x (225), y (225) = 0.00000123

x (225), y (225) = 0.00000004

x (225), y (225) = 0.00000000

x (225), y (225) = 0.00000000
